Fabric Family,Style name,Main Fabric 1 Name,Main Fabric 1 Consumption cm,Main Fabric 2 Name,Main Fabric 2 Consumption cm,Lining Fabric,Lining Consumption cm,Style Status,Last Updated By,Last Updated Time,Main Fabric 1 Consumption m,Main Fabric 2 Consumption m,Lining Consumption m
Kaia,Kaia Top,printed georgette,120,,0,poly crepe,115,Archived,admin,"29 Mar 2026, 08:04 PM",1.2,0.0,1.15
Kaia,Kaia Skirt,printed georgette,156,,0,poly crepe,75,Active,,,1.56,0.0,0.75
Ebony/jet,Ebony Waistcoat,banana crepe,75,,0,hoisery,75,Active,,,0.75,0.0,0.75
Ebony/jet,Ebony Trousers,banana crepe,150,,0,,0,Active,,,1.5,0.0,0.0
Ebony/jet,Ebony Flared Trousers,banana crepe,165,,0,,0,Active,,,1.65,0.0,0.0
Ebony/jet,Ebony Shorts,banana crepe,75,,0,hoisery,30,Active,,,0.75,0.0,0.3
Ebony/jet,Ebony Cropped Blazer,banana crepe,115,,0,hoisery,50,Active,,,1.15,0.0,0.5
Ebony/jet,Ebony Blazer,banana crepe,175,,0,hoisery,175,Active,,,1.75,0.0,1.75
Ebony/jet,Jet Waistcoat,banana crepe,90,,0,,0,Active,,,0.9,0.0,0.0
Ebony/jet,Ebony Skort,banana crepe,70,,0,,0,Active,,,0.7,0.0,0.0
Heidi/jet,Jet Shirt,black cotton,130,,0,,0,Active,,,1.3,0.0,0.0
Heidi/jet,Heidi Dress,black cotton,155,,0,,0,Active,,,1.55,0.0,0.0
Heidi/jet,Heidi Skirt,black cotton,155,,0,,0,Active,,,1.55,0.0,0.0
Heidi/jet,Heidi Top,black cotton,99,,0,,0,Active,,,0.99,0.0,0.0
mira/tara,Mira Top,mirror work fabric,25,,0,satin,65,Active,,,0.25,0.0,0.65
mira/tara,Tara Corset,mirror work fabric,50,,0,satin,50,Active,,,0.5,0.0,0.5
Pearl,Pearl Top,embroidered net,25,,0,satin,25,Active,,,0.25,0.0,0.25
Pearl,Pearl Bralet,embroidered net,25,,0,satin,30,Active,,,0.25,0.0,0.3
Pearl,Pearl Skirt,embroidered net,50,,0,satin,50,Active,,,0.5,0.0,0.5
Salt,Salt Shirt,cotton crepe,180,,0,,0,Active,,,1.8,0.0,0.0
Salt,Salt Skirt,cotton crepe,235,,0,bianca,80,Active,,,2.35,0.0,0.8
Salt,Salt Pants,cotton crepe,170,,0,,0,Active,,,1.7,0.0,0.0
Salt,Salt Dress,cotton crepe,230,,0,bianca,125,Active,,,2.3,0.0,1.25
Salt,Margot Top,cotton crepe,70,,0,bianca,30,Active,,,0.7,0.0,0.3
Salt,Salt Shorts,cotton crepe,130,,0,,0,Active,,,1.3,0.0,0.0
willow,Willow Top,white georgette,120,,0,poly crepe,35,Active,,,1.2,0.0,0.35
willow,Willow Skirt,white georgette,184,,0,poly crepe,140,Active,,,1.84,0.0,1.4
Jolie/vivian,Jolie Dress,crepe,320,,0,satin,20,Active,,,3.2,0.0,0.2
Jolie/vivian,Jolie Skirt,crepe,100,,0,,0,Active,,,1.0,0.0,0.0
Jolie/vivian,Jolie Maxi Skirt,crepe,215,,0,,0,Active,,,2.15,0.0,0.0
Jolie/vivian,Jolie Top,crepe,90,,0,satin,15,Active,,,0.9,0.0,0.15
Jolie/vivian,Vivian Top,crepe,70,rib,33,,0,Active,,,0.7,0.33,0.0
slate,Slate Shirt,cotton,160,,0,,0,Active,,,1.6,0.0,0.0
slate,Slate Trousers,cotton,165,,0,,0,Active,,,1.65,0.0,0.0
slate,Slate Top,cotton,70,,0,bianca,25,Active,,,0.7,0.0,0.25
Piper,Piper Bralet,cotton,30,,0,bianca,20,Active,,,0.3,0.0,0.2
Piper,Piper Skirt,cotton,155,,0,,0,Active,,,1.55,0.0,0.0
Piper,Piper Top,cotton,110,,0,,0,Active,,,1.1,0.0,0.0
Bambi,Bambi Top,wrinkled cotton,70,,0,bianca,35,Active,,,0.7,0.0,0.35
Bambi,Bambi Trousers,wrinkled cotton,155,,0,,0,Active,,,1.55,0.0,0.0
Bambi,Bambi Shirt,wrinkled cotton,120,,0,,0,Active,,,1.2,0.0,0.0
Lucy/Camille,Lucy Top,cotton,90,,0,,0,Active,,,0.9,0.0,0.0
Lucy/Camille,Lucy Trousers,cotton,140,,0,,0,Active,,,1.4,0.0,0.0
Lucy/Camille,Lucy Shirt,cotton,140,,0,,0,Active,,,1.4,0.0,0.0
Lucy/Camille,Camille  Top,cotton,35,,0,bianca,31,Active,,,0.35,0.0,0.31
Lucy/Camille,Camille Dress,cotton,155,,0,,0,Active,,,1.55,0.0,0.0
Butter,Butter Top,wrinkled cotton,100,,0,poly crepe,37,Active,,,1.0,0.0,0.37
Butter,Butter Skirt,wrinkled cotton,320,,0,poly crepe,40,Active,,,3.2,0.0,0.4
Butter,Butter Dress,wrinkled cotton,295,,0,poly crepe,145,Active,,,2.95,0.0,1.45
Lolita/Hart,Lolita Top,georgette,32,,0,satin,15,Active,,,0.32,0.0,0.15
Lolita/Hart,Lolita Skirt,georgette,130,,0,satin,88,Active,,,1.3,0.0,0.88
Lolita/Hart,Hart Top,georgette,85,,0,satin,25,Active,,,0.85,0.0,0.25
Marilyn ,Marilyn Top,crepe,125,,0,bianca,66,Active,,,1.25,0.0,0.66
Marilyn ,Marilyn Dress,crepe,275,,0,bianca,20,Active,,,2.75,0.0,0.2
Emily,Emily Top,rayon,83,,0,bianca,32,Active,,,0.83,0.0,0.32
Emily,Emily Skirt,rayon,102,,0,,0,Active,,,1.02,0.0,0.0
Emily,Emily Dress,rayon,275,,0,,0,Active,,,2.75,0.0,0.0
Lou,Lou Bralet,cotton,45,,0,,0,Active,,,0.45,0.0,0.0
Lou,Lou Shirt,cotton,140,,0,,0,Active,,,1.4,0.0,0.0
Lou,Lou Trouser,cotton,170,,0,,0,Active,,,1.7,0.0,0.0
Maria,Maria Top,georgette,80,,0,poly crepe,35,Active,,,0.8,0.0,0.35
Maria,Maria Skirt,georgette,184,,0,poly crepe,140,Active,,,1.84,0.0,1.4
Khakhi,Khakhi Waistcoat,flax cotton,130,,0,,0,Active,,,1.3,0.0,0.0
Khakhi,Khakhi Pants,flax cotton,250,,0,,0,Active,,,2.5,0.0,0.0
Sara,Sara Top,lycra,70,,0,,0,Active,,,0.7,0.0,0.0
Sara,Ink Skirt,lycra,110,,0,,0,Active,,,1.1,0.0,0.0
Sara,Onyx Dress,lycra,170,,0,,0,Active,,,1.7,0.0,0.0
Sara,Diana Dress/Skirt,lycra,115,,0,,0,Active,,,1.15,0.0,0.0
Sara,Ink Top,lycra,50,,0,,0,Active,,,0.5,0.0,0.0
Sara,Icon Mini Skort,lycra,45,,0,black scuba,66,Active,,,0.45,0.0,0.66
Sara,Icon Lbd,lycra,110,,0,,0,Active,,,1.1,0.0,0.0
Espresso,Alaia Dress,lycra,168,,0,,0,Active,,,1.68,0.0,0.0
Espresso,Bruni Top,lycra,78,,0,,0,Active,,,0.78,0.0,0.0
Espresso,Espresso Skirt,lycra,115,,0,,0,Active,,,1.15,0.0,0.0
Espresso,Espresso Top,lycra,55,,0,,0,Active,,,0.55,0.0,0.0
Noir,Noir Dress,wrinkled cotton,235,,0,poly crepe,140,Active,,,2.35,0.0,1.4
Noir,Joni Pants,wrinkled cotton,250,,0,,0,Active,,,2.5,0.0,0.0
Noir,Noir Wrap Skirt,wrinkled cotton,210,,0,,0,Active,,,2.1,0.0,0.0
Noir,Joni Top,wrinkled cotton,55,,0,crepe,55,Active,,,0.55,0.0,0.55
Rosie/Millie,Rosie top,cotton,85,,0,,0,Active,,,0.85,0.0,0.0
Rosie/Millie,Millie shirt,cotton,100,,0,,0,Active,,,1.0,0.0,0.0
Ella ,Ella Top,cotton rayon blend,48,,0,bianca,15,Active,,,0.48,0.0,0.15
Ella ,Ella Skirt,cotton rayon blend,235,,0,bianca,40,Active,,,2.35,0.0,0.4
Siren,Siren Top,black georgette-,113,black scuba,38,,0,Active,,,1.13,0.38,0.0
Valerie/Vixen,Vixen Top,maroon georgette,40,maroon scuba,79,,0,Active,,,0.4,0.79,0.0
Valerie/Vixen,Valerie Dress,maroon georgette,40,maroon scuba,79,,0,Active,,,0.4,0.79,0.0
Valerie/Vixen,Valerie Skirt,scuba,115,,0,,0,Active,,,1.15,0.0,0.0
Valerie/Vixen,Valerie Long Sleeve Top,scuba,70,,0,,0,Active,,,0.7,0.0,0.0
Valerie/Vixen,Valerie Top,scuba,25,,0,,0,Active,,,0.25,0.0,0.0
Ivory/Snow,Ivory Trousers,banana crepe,150,,0,,0,Active,,,1.5,0.0,0.0
Ivory/Snow,Ivory Shorts,banana crepe,70,,0,hoisery,25,Active,,,0.7,0.0,0.25
Ivory/Snow,Ivory Waistcoat,banana crepe,90,,0,,0,Active,,,0.9,0.0,0.0
Ivory/Snow,Ivory Top,banana crepe,50,,0,,0,Active,,,0.5,0.0,0.0
Ivory/Snow,Snow Waistcoat,banana crepe,45,,0,hoisery,45,Active,,,0.45,0.0,0.45
Ivory/Snow,Snow Flared Trousers,banana crepe,165,,0,,0,Active,,,1.65,0.0,0.0
Ivory/Snow,Snow Skort,banana crepe,70,,0,,0,Active,,,0.7,0.0,0.0
Ivory/Snow,Snow Blazer,banana crepe,175,,0,hoisery,175,Active,,,1.75,0.0,1.75
Eve,Eve Top,lycra,55,,0,,0,Active,,,0.55,0.0,0.0
Eve,Eve Dress,lycra,90,,0,,0,Active,,,0.9,0.0,0.0
